channel,region,object_id,feature_name,feature_value
na,cell,1,neighbors,"[14, 2, 13, 3, 6, 12, 5, 4]"
na,cell,2,neighbors,"[8, 13, 7, 14, 1, 3, 19, 6, 9]"
na,cell,3,neighbors,"[14, 1, 2, 17, 12, 6, 16, 5, 4]"
na,cell,4,neighbors,"[1, 3, 6, 9, 5, 12, 10, 22]"
na,cell,5,neighbors,"[3, 1, 6, 12, 4]"
na,cell,6,neighbors,"[2, 7, 1, 14, 9, 3, 12, 4, 5, 10, 22]"
na,cell,7,neighbors,"[8, 2, 19, 6, 9]"
na,cell,8,neighbors,"[13, 19, 2, 7, 14]"
na,cell,9,neighbors,"[7, 19, 2, 6, 11, 4, 22, 10]"
na,cell,10,neighbors,"[6, 12, 4, 9, 22, 11]"
na,cell,11,neighbors,"[9, 19, 20, 23, 22, 10]"
na,cell,12,neighbors,"[3, 17, 1, 6, 16, 24, 5, 4, 18, 10, 22]"
na,cell,13,neighbors,"[8, 14, 19, 2, 15, 21, 1, 20, 24]"
na,cell,14,neighbors,"[13, 8, 15, 2, 1, 3, 17, 24, 6]"
na,cell,15,neighbors,"[14, 13, 21, 17, 19, 24]"
na,cell,16,neighbors,"[3, 17, 12, 24, 18]"
na,cell,17,neighbors,"[14, 15, 3, 24, 12, 16, 18]"
na,cell,18,neighbors,"[17, 24, 16, 12, 22, 23]"
na,cell,19,neighbors,"[8, 13, 21, 7, 20, 2, 15, 24, 9, 11]"
na,cell,20,neighbors,"[19, 21, 13, 24, 11, 23]"
na,cell,21,neighbors,"[13, 19, 15, 20, 24, 23]"
na,cell,22,neighbors,"[9, 11, 23, 12, 6, 4, 24, 10, 18]"
na,cell,23,neighbors,"[21, 20, 24, 11, 22, 18]"
na,cell,24,neighbors,"[14, 15, 13, 19, 21, 20, 17, 23, 18, 16, 12, 22]"
nuclei_intensity,nuclei,1,q0_000,1425.0
nuclei_intensity,nuclei,1,q0_250,17258.0
nuclei_intensity,nuclei,1,q0_500,23380.0
nuclei_intensity,nuclei,1,q0_750,28601.0
nuclei_intensity,nuclei,1,q1_000,65535.0
nuclei_intensity,nuclei,2,q0_000,0.0
nuclei_intensity,nuclei,2,q0_250,19030.75
nuclei_intensity,nuclei,2,q0_500,35037.0
nuclei_intensity,nuclei,2,q0_750,54154.5
nuclei_intensity,nuclei,2,q1_000,65535.0
nuclei_intensity,nuclei,3,q0_000,2205.0
nuclei_intensity,nuclei,3,q0_250,16075.0
nuclei_intensity,nuclei,3,q0_500,21010.0
nuclei_intensity,nuclei,3,q0_750,26335.0
nuclei_intensity,nuclei,3,q1_000,55544.0
nuclei_intensity,nuclei,4,q0_000,2942.0
nuclei_intensity,nuclei,4,q0_250,16289.75
nuclei_intensity,nuclei,4,q0_500,25778.0
nuclei_intensity,nuclei,4,q0_750,33432.25
nuclei_intensity,nuclei,4,q1_000,65167.0
nuclei_intensity,nuclei,5,q0_000,0.0
nuclei_intensity,nuclei,5,q0_250,17771.0
nuclei_intensity,nuclei,5,q0_500,23826.0
nuclei_intensity,nuclei,5,q0_750,31768.0
nuclei_intensity,nuclei,5,q1_000,59694.0
nuclei_intensity,nuclei,6,q0_000,0.0
nuclei_intensity,nuclei,6,q0_250,15810.0
nuclei_intensity,nuclei,6,q0_500,23743.0
nuclei_intensity,nuclei,6,q0_750,32636.0
nuclei_intensity,nuclei,6,q1_000,65535.0
nuclei_intensity,nuclei,7,q0_000,0.0
nuclei_intensity,nuclei,7,q0_250,17534.0
nuclei_intensity,nuclei,7,q0_500,27522.5
nuclei_intensity,nuclei,7,q0_750,40737.75
nuclei_intensity,nuclei,7,q1_000,65535.0
nuclei_intensity,nuclei,8,q0_000,0.0
nuclei_intensity,nuclei,8,q0_250,17279.0
nuclei_intensity,nuclei,8,q0_500,26572.5
nuclei_intensity,nuclei,8,q0_750,38379.25
nuclei_intensity,nuclei,8,q1_000,65535.0
nuclei_intensity,nuclei,9,q0_000,0.0
nuclei_intensity,nuclei,9,q0_250,16823.75
nuclei_intensity,nuclei,9,q0_500,25866.5
nuclei_intensity,nuclei,9,q0_750,35716.25
nuclei_intensity,nuclei,9,q1_000,65535.0
nuclei_intensity,nuclei,10,q0_000,0.0
nuclei_intensity,nuclei,10,q0_250,18885.25
nuclei_intensity,nuclei,10,q0_500,29088.0
nuclei_intensity,nuclei,10,q0_750,40109.25
nuclei_intensity,nuclei,10,q1_000,65535.0
nuclei_intensity,nuclei,11,q0_000,1820.0
nuclei_intensity,nuclei,11,q0_250,22796.0
nuclei_intensity,nuclei,11,q0_500,30670.0
nuclei_intensity,nuclei,11,q0_750,39764.5
nuclei_intensity,nuclei,11,q1_000,65535.0
nuclei_intensity,nuclei,12,q0_000,0.0
nuclei_intensity,nuclei,12,q0_250,21965.75
nuclei_intensity,nuclei,12,q0_500,44248.5
nuclei_intensity,nuclei,12,q0_750,64143.25
nuclei_intensity,nuclei,12,q1_000,65535.0
nuclei_intensity,nuclei,13,q0_000,3445.0
nuclei_intensity,nuclei,13,q0_250,23388.5
nuclei_intensity,nuclei,13,q0_500,37366.5
nuclei_intensity,nuclei,13,q0_750,50590.5
nuclei_intensity,nuclei,13,q1_000,65535.0
nuclei_intensity,nuclei,14,q0_000,0.0
nuclei_intensity,nuclei,14,q0_250,26557.0
nuclei_intensity,nuclei,14,q0_500,43474.0
nuclei_intensity,nuclei,14,q0_750,61264.0
nuclei_intensity,nuclei,14,q1_000,65535.0
nuclei_intensity,nuclei,15,q0_000,0.0
nuclei_intensity,nuclei,15,q0_250,24357.75
nuclei_intensity,nuclei,15,q0_500,33492.0
nuclei_intensity,nuclei,15,q0_750,44301.5
nuclei_intensity,nuclei,15,q1_000,65535.0
nuclei_intensity,nuclei,16,q0_000,4116.0
nuclei_intensity,nuclei,16,q0_250,19269.75
nuclei_intensity,nuclei,16,q0_500,24455.0
nuclei_intensity,nuclei,16,q0_750,31223.75
nuclei_intensity,nuclei,16,q1_000,54300.0
nuclei_intensity,nuclei,17,q0_000,2561.0
nuclei_intensity,nuclei,17,q0_250,16290.75
nuclei_intensity,nuclei,17,q0_500,20759.5
nuclei_intensity,nuclei,17,q0_750,26719.25
nuclei_intensity,nuclei,17,q1_000,53528.0
nuclei_intensity,nuclei,18,q0_000,0.0
nuclei_intensity,nuclei,18,q0_250,17729.0
nuclei_intensity,nuclei,18,q0_500,24946.0
nuclei_intensity,nuclei,18,q0_750,33699.0
nuclei_intensity,nuclei,18,q1_000,65535.0
nuclei_intensity,nuclei,19,q0_000,0.0
nuclei_intensity,nuclei,19,q0_250,19071.0
nuclei_intensity,nuclei,19,q0_500,26773.0
nuclei_intensity,nuclei,19,q0_750,34153.5
nuclei_intensity,nuclei,19,q1_000,65535.0
nuclei_intensity,nuclei,20,q0_000,0.0
nuclei_intensity,nuclei,20,q0_250,25698.0
nuclei_intensity,nuclei,20,q0_500,38025.0
nuclei_intensity,nuclei,20,q0_750,51897.0
nuclei_intensity,nuclei,20,q1_000,65535.0
nuclei_intensity,nuclei,21,q0_000,0.0
nuclei_intensity,nuclei,21,q0_250,24896.0
nuclei_intensity,nuclei,21,q0_500,37154.0
nuclei_intensity,nuclei,21,q0_750,51853.0
nuclei_intensity,nuclei,21,q1_000,65535.0
nuclei_intensity,nuclei,22,q0_000,0.0
nuclei_intensity,nuclei,22,q0_250,25374.75
nuclei_intensity,nuclei,22,q0_500,52564.0
nuclei_intensity,nuclei,22,q0_750,65535.0
nuclei_intensity,nuclei,22,q1_000,65535.0
nuclei_intensity,nuclei,23,q0_000,0.0
